Source,Target,lag,pval,val
(handset)Sell-Through Total Market,(handset)Sell-Through Total Market,1,3.915980610252468e-20,0.6756460577528889
IDMs Inventory(mil),IDMs Inventory(mil),1,4.097109489349226e-20,0.6718725948111193
Mobile commdem(mGb) Tablets,Mobile commdem(mGb) Tablets,1,4.6075108123155216e-20,0.6711974703532049
MACRO China Credit Impulse,MACRO China Credit Impulse,1,8.524586372456427e-20,0.6641702968889037
MACRO Conference Board CHINA,MACRO Conference Board CHINA,1,8.653093411921457e-20,0.6692921685112383
Total Shipment Units,Total Shipment Units,1,1.1669522032467354e-19,0.6623317277524762
Micron shipments 1Gb equivalent unit,Micron shipments 1Gb equivalent unit,1,1.2125182531916445e-19,0.6586987418465824
MACRO M2 Money Stock,MACRO M2 Money Stock,1,1.5751546929422698e-19,0.6622856613483337
Memory capex,Memory capex,1,1.8478152569497638e-19,0.659617286984322
Inventory coverage,Inventory coverage,1,2.4987938640860634e-19,0.6544152234913878
(smartphone)Sell-Through Total Market,(smartphone)Sell-Through Total Market,1,2.7467065884405343e-19,0.6589743772597192
SK hynix cash costs,Samsung cash costs,3,2.829639397792753e-19,0.6622767351250085
Quarterly industry inventory value (L),Total Inventory(mil),2,4.522955641324707e-19,0.6665640146576131
Total Inventory(mil),Total Inventory(mil),2,4.523408670899385e-19,0.6665634061237554
Quarterly industry inventory value (L),Quarterly industry inventory value (L),2,4.523803145183633e-19,0.6665628762930098
Total Inventory(mil),Quarterly industry inventory value (L),2,4.524256306210526e-19,0.6665622676939503
MACRO Conference Board US,MACRO Conference Board US,1,5.561153868039216e-19,0.6529938370195907
MACRO China PMI,MACRO China LPR,2,6.372110342125196e-19,0.6487651531254199
Days of inventory by technology group - Microcomponents,Days of inventory by technology group - Microcomponents,1,8.825097983181784e-19,0.6501678332358252
Total industry capex ($bn),Total industry capex ($bn),1,1.0615494268349433e-18,0.6559761260896815
Industry revenue without memory ($bn),Industry revenue without memory ($bn),1,2.1914724589448664e-18,0.6445128569596519
MACRO China Unemployment Rate,MACRO China Unemployment Rate,1,2.237384946614817e-18,0.6460969465135694
Waferoutput12-inch Samsung,Waferoutput12-inch Samsung,3,2.5357557454777166e-18,0.6453084034264489
Mobile commdem(mGb) High-end smartphone,Mobile commdem(mGb) High-end smartphone,1,3.0864522462686235e-18,0.6423525976149691
Pure-play foundries Inventory(mil),Pure-play foundries Inventory(mil),1,3.402269493633807e-18,0.6522128891276686
Micron cash costs,Micron cash costs,1,3.5468859176025246e-18,0.648400881742215
Total Vendor Revenue,Total Vendor Revenue,1,4.882162103324103e-18,0.6535030837033892
MACRO US PMI Manufacturing,MACRO US PMI Manufacturing,1,5.0455360558609555e-18,0.635838506052504
Global supply(1Gbeqm) Total supply,Global supply(1Gbeqm) Total supply,1,6.598741330486533e-18,0.6409301820815463
SKEWX,SKEWX,1,8.080881299284819e-18,0.6328081928158367
Mobile commdem(mGb) Low-end smartphone,Mobile commdem(mGb) Low-end smartphone,1,8.686689032562865e-18,0.6357184892102625
SK hynix cash costs,SK hynix cash costs,1,1.1545385882716024e-17,0.6372942630975993
Quarterly foundry revenue-Total,Quarterly foundry revenue-Total,1,1.3137643019725102e-17,0.6399287617161633
v,v,1,1.706593182346214e-17,0.6330061728201344
SK hynix fab Total (K wafers/quarter),SK hynix fab Total (K wafers/quarter),1,2.4713990562352634e-17,0.6322684960547045
Fndry rev forecast-Total foundry revenue,Fndry rev forecast-Total foundry revenue,1,2.971896708330677e-17,0.6416253367042415
Supply-Production-based Total,Supply-Production-based Total,1,3.104833992853112e-17,0.6307436501738581
ASP_Server,ASP_Server,1,3.742266619526618e-17,0.6312180649850798
Total industry revenue ($bn),Global semiconductor revenue($bn),1,4.349183519641705e-17,0.6337008030060438
Global semiconductor revenue($bn),Global semiconductor revenue($bn),1,4.349183519641705e-17,0.6337008030060438
Total industry revenue ($bn),Total industry revenue ($bn),1,4.349183519641705e-17,0.6337008030060438
Global semiconductor revenue($bn),Total industry revenue ($bn),1,4.349183519641705e-17,0.6337008030060438
MACRO KR CCI,MACRO KR CCI,1,7.779883056222542e-17,0.6245184186218646
SK hynix shipments 1Gb equivalent unit,SK hynix shipments 1Gb equivalent unit,1,9.198787941413208e-17,0.6303461628611464
Fndry rev forecast-Pure-play foundry revenue,Fndry rev forecast-Pure-play foundry revenue,1,1.1962009505992174e-16,0.6215543131804167
Memory revenue ($bn),Memory revenue ($bn),1,1.5057604094249166e-16,0.6165553098260226
ASP_Graphics,ASP_Graphics,1,1.954461038390926e-16,0.6215845326886024
"Samsung fab 12"" total (1Gb million units)","Samsung fab 12"" total (1Gb million units)",1,2.0024471668295052e-16,0.6145659295545784
Fabless semiconductor companies Inventory(mil),Fabless semiconductor companies Inventory(mil),3,2.430677184888038e-16,0.6235541614955756
