Source,Target,lag,pval,val
Total End-User Spending,Total End-User Spending,1,2.2728884911487415e-101,0.9785409469244054
Total End-User Spending,Total End-User Spending,2,2.494870873998483e-88,0.9673506556795742
Total End-User Spending,Total End-User Spending,3,7.973101973078881e-77,0.9526047199862279
MACRO CN PPI,MACRO CN PPI,1,5.4611356782765374e-48,0.8729413951304958
MACRO 70 Cities Housing Price YoY,MACRO 70 Cities Housing Price YoY,1,1.6799643451145527e-46,0.8651201273294652
MACRO KR CPI,MACRO KR CPI,1,2.515205131619794e-38,0.8223942569600993
MACRO China PMI,MACRO M1 Money Stock,2,1.2002967593739468e-36,-0.8149368896225291
(handset)Inventory of new products Total,(handset)Inventory of new products Total,1,1.0850467285654083e-35,0.8117801254602609
US10YT=RRPS,US10YT=RRPS,1,1.7168869716894593e-34,0.7973454292834713
BZZc1,BZZc1,1,2.859717542613174e-34,0.7989063145315494
PAc1,PAc1,1,6.473423808142253e-34,0.7963813865181194
CN10YT=RR,CN10YT=RR,1,1.143162174899507e-33,0.7946025797010637
HGc1,HGc1,1,1.1575889069522499e-32,0.7855864433835779
MACRO US CPI,MACRO US CPI,1,1.4603595958095159e-31,0.7835493299793224
CSI300,CSI300,1,2.5259142073395974e-30,0.7752357305499746
GCc1,GCc1,1,5.688477343045111e-30,0.7657262080042287
US3YT=RRPS,US3YT=RRPS,1,3.1713203456229137e-28,0.7554390657255634
PLc1,PLc1,1,4.924056296095003e-28,0.7438256660762046
INX,INX,1,1.962904374028131e-27,0.7382465544421634
MACRO CN CPI,MACRO CN CPI,1,5.010290189468773e-27,0.7443130378949312
MACRO M1 Money Stock,MACRO M1 Money Stock,1,2.5836164358140667e-26,0.7374159258298916
NGc1,NGc1,1,4.186421787215053e-26,0.733656958936928
DRAMDXI,DRAMDXI,1,7.29924760947724e-26,0.7363437517264392
ASP_Mobile,ASP_Mobile,1,1.296234361761102e-25,0.7270450976521619
MACRO China PMI,MACRO US Unemployment Rate,2,1.7290625725526868e-25,-0.7291420704195455
Waferoutput12-inch Total,Waferoutput12-inch Total,1,4.551622873021034e-25,0.7387611858772245
Wired application dem (Gbm) Total,Wired application dem (Gbm) Total,1,1.9512132427742782e-24,0.7181331893609167
Samsung loaded costs,Samsung loaded costs,1,3.853194320026684e-24,0.7166548649154207
(smartphone)Inventory of new products Total,(smartphone)Inventory of new products Total,1,4.253278564236306e-24,0.716188529340175
Samsung fab Total (K wafers/quarter),Samsung fab Total (K wafers/quarter),1,6.353745426944828e-24,0.7125732937936924
Waferoutput12-inch Samsung,Waferoutput12-inch Samsung,1,1.2125032585610866e-23,0.7060829173544807
SK hynix loaded costs,SK hynix loaded costs,1,1.60884818678639e-23,0.7150226845242077
Capex by Tech ($m)-Memory,Capex by Tech ($m)-Memory,1,1.8156808181146566e-23,0.6974748371115811
Memory capex ($bn R),Memory capex ($bn R),1,1.9456329892996405e-23,0.6971376066883737
(smartphone)Inventory in weeks of lifetime shipments Total,(smartphone)Inventory in weeks of lifetime shipments Total,1,2.201196725529343e-23,0.7031841061980977
Fabless semiconductor companies Inventory(mil),Fabless semiconductor companies Inventory(mil),1,2.3067114177845446e-23,0.7097843867869722
Total Vendor Revenue,Total End-User Spending,1,7.922340950913891e-23,0.7019464204796879
Mobile commdem(mGb) Tablets,Mobile commdem(mGb) Tablets,1,8.953131266239103e-23,0.6962229153693311
ASP by vendor Micron,ASP by vendor Micron,1,2.8877977107422887e-22,0.6836030549624703
Industry operating margin,Industry operating margin,1,3.011000650422849e-22,0.6866914485345958
Nanya loaded costs,Nanya loaded costs,1,3.6344871489593252e-22,0.6824143202959247
