date,Idx_SnP500,Bonds_US_10Y,Com_Silver,Bonds_CHN_1Y,Bonds_BRZ_10Y,Com_Milk,Idx_SnPVIX,EPU_Mainland China,Com_Coking_Coal,Com_Corn,Com_Cocoa,Com_Cotton,Com_HRC_Steel,Com_Lumber,Com_Nickel,Com_NaturalGas,Com_Oat,Com_Wool,Com_Rice,Com_Sugar,Com_Iron_Ore,EX_USD_CNY,Idx_Shanghai,EPU_Australia,EPU_Brazil,EPU_Canada,EPU_Chile,EPU_France,EPU_Greece,EPU_India,EPU_Ireland,EPU_Italy,EPU_Japan,EPU_Korea,EPU_Pakistan,EPU_Russia,EPU_Spain,EPU_UK,EPU_US,Idx_MOVE,Idx_US_PMI,Idx_US_IPI,Idx_US_IPI_chg,Idx_US_CPI_chg,Idx_US_UnemploymentRate_chg,Com_Gold
2021-01-18,3776.3,1.097,25.33,2.543,7.46,16.23,24.34,378.35705309334,1814.5,530.0,2527.0,80.7,1066.0,800.1,18014.5,2.633,365.5,1172.0,13.115,16.45,169.97,6.4958,3596.22363,144.7079548703767,204.1461151177926,290.415449679636,208.0988922119141,276.3722743736475,53.63250324460932,83.66126435425299,258.9355486253357,247.1247089383109,112.9045785068064,212.1215443064614,95.70694064086334,503.0057424992577,152.2834930419922,199.2239483170456,261.3061327503125,45.14,60.7,98.8135,0.6096,0.594,-0.3,1836.89
2021-01-19,3798.91,1.092,25.19,2.57,7.515,16.22,23.24,378.35705309334,1821.0,526.0,2590.0,81.15,1065.0,668.0,18166.0,2.546,362.5,1172.0,13.195,16.1,170.03,6.4787,3566.38135,144.7079548703767,204.1461151177926,290.415449679636,208.0988922119141,276.3722743736475,53.63250324460932,83.66126435425299,258.9355486253357,247.1247089383109,112.9045785068064,212.1215443064614,95.70694064086334,503.0057424992577,152.2834930419922,199.2239483170456,261.3061327503125,45.23,60.7,98.8135,0.6096,0.594,-0.3,1839.33691
2021-01-20,3851.85,1.09,25.8068,2.574,7.575,16.18,21.58,378.35705309334,1817.0,522.0,2569.0,81.59,1060.0,700.0,18171.5,2.539,364.0,1190.0,13.21,16.27,169.85,6.4609,3583.092,144.7079548703767,204.1461151177926,290.415449679636,208.0988922119141,276.3722743736475,53.63250324460932,83.66126435425299,258.9355486253357,247.1247089383109,112.9045785068064,212.1215443064614,95.70694064086334,503.0057424992577,152.2834930419922,199.2239483170456,261.3061327503125,42.53,60.7,98.8135,0.6096,0.594,-0.3,1870.90625
2021-01-21,3853.07,1.107,25.9451,2.57,7.815,16.15,21.32,378.35705309334,1835.5,524.25,2550.0,82.57,1063.0,748.0,18349.5,2.491,360.5,1202.0,13.245,16.05,169.98,6.4633,3621.26416,144.7079548703767,204.1461151177926,290.415449679636,208.0988922119141,276.3722743736475,53.63250324460932,83.66126435425299,258.9355486253357,247.1247089383109,112.9045785068064,212.1215443064614,95.70694064086334,503.0057424992577,152.2834930419922,199.2239483170456,261.3061327503125,43.01,60.7,98.8135,0.6096,0.594,-0.3,1869.91
2021-01-22,3841.47,1.091,25.4,2.593,7.815,16.16,21.91,378.35705309334,1806.0,500.5,2529.0,81.56,1058.0,796.0,18222.5,2.446,345.25,1202.0,13.275,15.87,169.82,6.4945,3606.74951,144.7079548703767,204.1461151177926,290.415449679636,208.0988922119141,276.3722743736475,53.63250324460932,83.66126435425299,258.9355486253357,247.1247089383109,112.9045785068064,212.1215443064614,95.70694064086334,503.0057424992577,152.2834930419922,199.2239483170456,261.3061327503125,43.09,60.7,98.8135,0.6096,0.594,-0.3,1852.55
2021-01-25,3855.36,1.04,25.3,2.573,7.815,16.16,23.19,378.35705309334,1814.5,511.5,2508.0,82.33,1058.0,823.1,18203.17,2.602,354.5,1202.0,13.235,15.74,169.78,6.4854,3624.238,144.7079548703767,204.1461151177926,290.415449679636,208.0988922119141,276.3722743736475,53.63250324460932,83.66126435425299,258.9355486253357,247.1247089383109,112.9045785068064,212.1215443064614,95.70694064086334,503.0057424992577,152.2834930419922,199.2239483170456,261.3061327503125,43.08,60.7,98.8135,0.6096,0.594,-0.3,1854.99146
2021-01-26,3849.62,1.04,25.4425,2.634,8.055,16.13,23.02,378.35705309334,1825.0,532.25,2545.0,81.71,1063.0,855.1,18010.5,2.636,354.75,1202.0,13.305,15.74,169.52,6.4718,3569.429,144.7079548703767,204.1461151177926,290.415449679636,208.0988922119141,276.3722743736475,53.63250324460932,83.66126435425299,258.9355486253357,247.1247089383109,112.9045785068064,212.1215443064614,95.70694064086334,503.0057424992577,152.2834930419922,199.2239483170456,261.3061327503125,43.14,60.7,98.8135,0.6096,0.594,-0.3,1850.31
2021-01-27,3750.77,1.014,25.24,2.707,7.72,16.14,37.21,378.35705309334,1829.5,534.0,2504.0,80.84,1115.0,865.0,17866.5,2.702,352.5,1274.0,13.455,15.8,169.26,6.4962,3573.34131,144.7079548703767,204.1461151177926,290.415449679636,208.0988922119141,276.3722743736475,53.63250324460932,83.66126435425299,258.9355486253357,247.1247089383109,112.9045785068064,212.1215443064614,95.70694064086334,503.0057424992577,152.2834930419922,199.2239483170456,261.3061327503125,44.16,60.7,98.8135,0.6096,0.594,-0.3,1843.99
2021-01-28,3787.38,1.055,26.37,2.749,7.755,16.12,30.21,378.35705309334,1822.0,534.5,2510.0,79.93,1138.0,892.6,17754.0,2.664,346.75,1291.0,13.39,15.59,168.63,6.4719,3505.17578,144.7079548703767,204.1461151177926,290.415449679636,208.0988922119141,276.3722743736475,53.63250324460932,83.66126435425299,258.9355486253357,247.1247089383109,112.9045785068064,212.1215443064614,95.70694064086334,503.0057424992577,152.2834930419922,199.2239483170456,261.3061327503125,45.53,60.7,98.8135,0.6096,0.594,-0.3,1840.36
2021-01-29,3714.24,1.094,27.0015,2.83,7.58,16.12,33.09,378.35705309334,1800.0,547.0,2531.0,80.64,1149.0,887.0,17647.5,2.564,349.5,1291.0,13.46,15.83,168.13,6.4459,3483.069,144.7079548703767,204.1461151177926,290.415449679636,208.0988922119141,276.3722743736475,53.63250324460932,83.66126435425299,258.9355486253357,247.1247089383109,112.9045785068064,212.1215443064614,95.70694064086334,503.0057424992577,152.2834930419922,199.2239483170456,261.3061327503125,47.41,60.7,98.8135,0.6096,0.594,-0.3,1846.09
